hospName,topWait,updateTime,updateDate
Alice Ho Miu Ling Nethersole Hospital,3.5,2019-04-18 23:45:00,2019-04-18
Caritas Medical Centre,1.5,2019-04-18 23:45:00,2019-04-18
Kwong Wah Hospital,4.5,2019-04-18 23:45:00,2019-04-18
North District Hospital,7.5,2019-04-18 23:45:00,2019-04-18
North Lantau Hospital,0.5,2019-04-18 23:45:00,2019-04-18
Princess Margaret Hospital,4.5,2019-04-18 23:45:00,2019-04-18
Pok Oi Hospital,1.5,2019-04-18 23:45:00,2019-04-18
Prince of Wales Hospital,6.5,2019-04-18 23:45:00,2019-04-18
Pamela Youde Nethersole Eastern Hospital,4.5,2019-04-18 23:45:00,2019-04-18
Queen Elizabeth Hospital,5.5,2019-04-18 23:45:00,2019-04-18
Queen Mary Hospital,2.5,2019-04-18 23:45:00,2019-04-18
Ruttonjee Hospital,2.5,2019-04-18 23:45:00,2019-04-18
St John Hospital,0.5,2019-04-18 23:45:00,2019-04-18
Tseung Kwan O Hospital,5.5,2019-04-18 23:45:00,2019-04-18
Tuen Mun Hospital,2.5,2019-04-18 23:45:00,2019-04-18
Tin Shui Wai Hospital,0.5,2019-04-18 23:45:00,2019-04-18
United Christian Hospital,5.5,2019-04-18 23:45:00,2019-04-18
Yan Chai Hospital,4.5,2019-04-18 23:45:00,2019-04-18
Alice Ho Miu Ling Nethersole Hospital,2.5,2019-04-19 00:00:00,2019-04-19
Caritas Medical Centre,1.5,2019-04-19 00:00:00,2019-04-19
Kwong Wah Hospital,4.5,2019-04-19 00:00:00,2019-04-19
North District Hospital,7.5,2019-04-19 00:00:00,2019-04-19
North Lantau Hospital,0.5,2019-04-19 00:00:00,2019-04-19
Princess Margaret Hospital,4.5,2019-04-19 00:00:00,2019-04-19
Pok Oi Hospital,1.5,2019-04-19 00:00:00,2019-04-19
Prince of Wales Hospital,6.5,2019-04-19 00:00:00,2019-04-19
Pamela Youde Nethersole Eastern Hospital,4.5,2019-04-19 00:00:00,2019-04-19
Queen Elizabeth Hospital,6.5,2019-04-19 00:00:00,2019-04-19
Queen Mary Hospital,2.5,2019-04-19 00:00:00,2019-04-19
Ruttonjee Hospital,2.5,2019-04-19 00:00:00,2019-04-19
St John Hospital,0.5,2019-04-19 00:00:00,2019-04-19
Tseung Kwan O Hospital,5.5,2019-04-19 00:00:00,2019-04-19
Tuen Mun Hospital,2.5,2019-04-19 00:00:00,2019-04-19
Tin Shui Wai Hospital,0.5,2019-04-19 00:00:00,2019-04-19
United Christian Hospital,5.5,2019-04-19 00:00:00,2019-04-19
Yan Chai Hospital,4.5,2019-04-19 00:00:00,2019-04-19
Alice Ho Miu Ling Nethersole Hospital,2.5,2019-04-19 00:15:00,2019-04-19
Caritas Medical Centre,1.5,2019-04-19 00:15:00,2019-04-19
Kwong Wah Hospital,3.5,2019-04-19 00:15:00,2019-04-19
North District Hospital,7.5,2019-04-19 00:15:00,2019-04-19
North Lantau Hospital,0.5,2019-04-19 00:15:00,2019-04-19
Princess Margaret Hospital,4.5,2019-04-19 00:15:00,2019-04-19
Pok Oi Hospital,1.5,2019-04-19 00:15:00,2019-04-19
Prince of Wales Hospital,6.5,2019-04-19 00:15:00,2019-04-19
Pamela Youde Nethersole Eastern Hospital,4.5,2019-04-19 00:15:00,2019-04-19
Queen Elizabeth Hospital,6.5,2019-04-19 00:15:00,2019-04-19
Queen Mary Hospital,2.5,2019-04-19 00:15:00,2019-04-19
Ruttonjee Hospital,2.5,2019-04-19 00:15:00,2019-04-19
St John Hospital,0.5,2019-04-19 00:15:00,2019-04-19
Tseung Kwan O Hospital,5.5,2019-04-19 00:15:00,2019-04-19
Tuen Mun Hospital,3.5,2019-04-19 00:15:00,2019-04-19
Tin Shui Wai Hospital,0.5,2019-04-19 00:15:00,2019-04-19
United Christian Hospital,5.5,2019-04-19 00:15:00,2019-04-19
Yan Chai Hospital,4.5,2019-04-19 00:15:00,2019-04-19
Alice Ho Miu Ling Nethersole Hospital,2.5,2019-04-19 00:30:00,2019-04-19
Caritas Medical Centre,1.5,2019-04-19 00:30:00,2019-04-19
Kwong Wah Hospital,3.5,2019-04-19 00:30:00,2019-04-19
North District Hospital,7.5,2019-04-19 00:30:00,2019-04-19
North Lantau Hospital,0.5,2019-04-19 00:30:00,2019-04-19
Princess Margaret Hospital,4.5,2019-04-19 00:30:00,2019-04-19
Pok Oi Hospital,0.5,2019-04-19 00:30:00,2019-04-19
Prince of Wales Hospital,7.5,2019-04-19 00:30:00,2019-04-19
Pamela Youde Nethersole Eastern Hospital,4.5,2019-04-19 00:30:00,2019-04-19
Queen Elizabeth Hospital,6.5,2019-04-19 00:30:00,2019-04-19
Queen Mary Hospital,2.5,2019-04-19 00:30:00,2019-04-19
Ruttonjee Hospital,2.5,2019-04-19 00:30:00,2019-04-19
St John Hospital,0.5,2019-04-19 00:30:00,2019-04-19
Tseung Kwan O Hospital,5.5,2019-04-19 00:30:00,2019-04-19
Tuen Mun Hospital,3.5,2019-04-19 00:30:00,2019-04-19
Tin Shui Wai Hospital,1.5,2019-04-19 00:30:00,2019-04-19
United Christian Hospital,4.5,2019-04-19 00:30:00,2019-04-19
Yan Chai Hospital,5.5,2019-04-19 00:30:00,2019-04-19
Alice Ho Miu Ling Nethersole Hospital,1.5,2019-04-19 00:45:00,2019-04-19
Caritas Medical Centre,1.5,2019-04-19 00:45:00,2019-04-19
Kwong Wah Hospital,3.5,2019-04-19 00:45:00,2019-04-19
North District Hospital,7.5,2019-04-19 00:45:00,2019-04-19
North Lantau Hospital,0.5,2019-04-19 00:45:00,2019-04-19
Princess Margaret Hospital,4.5,2019-04-19 00:45:00,2019-04-19
Pok Oi Hospital,0.5,2019-04-19 00:45:00,2019-04-19
Prince of Wales Hospital,7.5,2019-04-19 00:45:00,2019-04-19
Pamela Youde Nethersole Eastern Hospital,4.5,2019-04-19 00:45:00,2019-04-19
Queen Elizabeth Hospital,6.5,2019-04-19 00:45:00,2019-04-19
Queen Mary Hospital,1.5,2019-04-19 00:45:00,2019-04-19
Ruttonjee Hospital,2.5,2019-04-19 00:45:00,2019-04-19
St John Hospital,0.5,2019-04-19 00:45:00,2019-04-19
Tseung Kwan O Hospital,5.5,2019-04-19 00:45:00,2019-04-19
Tuen Mun Hospital,3.5,2019-04-19 00:45:00,2019-04-19
Tin Shui Wai Hospital,1.5,2019-04-19 00:45:00,2019-04-19
United Christian Hospital,4.5,2019-04-19 00:45:00,2019-04-19
Yan Chai Hospital,5.5,2019-04-19 00:45:00,2019-04-19
Alice Ho Miu Ling Nethersole Hospital,1.5,2019-04-19 01:00:00,2019-04-19
Caritas Medical Centre,1.5,2019-04-19 01:00:00,2019-04-19
Kwong Wah Hospital,3.5,2019-04-19 01:00:00,2019-04-19
North District Hospital,7.5,2019-04-19 01:00:00,2019-04-19
North Lantau Hospital,0.5,2019-04-19 01:00:00,2019-04-19
Princess Margaret Hospital,4.5,2019-04-19 01:00:00,2019-04-19
Pok Oi Hospital,1.5,2019-04-19 01:00:00,2019-04-19
Prince of Wales Hospital,7.5,2019-04-19 01:00:00,2019-04-19
Pamela Youde Nethersole Eastern Hospital,4.5,2019-04-19 01:00:00,2019-04-19
Queen Elizabeth Hospital,6.5,2019-04-19 01:00:00,2019-04-19
Queen Mary Hospital,1.5,2019-04-19 01:00:00,2019-04-19
Ruttonjee Hospital,2.5,2019-04-19 01:00:00,2019-04-19
St John Hospital,0.5,2019-04-19 01:00:00,2019-04-19
Tseung Kwan O Hospital,5.5,2019-04-19 01:00:00,2019-04-19
Tuen Mun Hospital,3.5,2019-04-19 01:00:00,2019-04-19
Tin Shui Wai Hospital,1.5,2019-04-19 01:00:00,2019-04-19
United Christian Hospital,3.5,2019-04-19 01:00:00,2019-04-19
Yan Chai Hospital,5.5,2019-04-19 01:00:00,2019-04-19
Alice Ho Miu Ling Nethersole Hospital,2.5,2019-04-19 01:15:00,2019-04-19
Caritas Medical Centre,2.5,2019-04-19 01:15:00,2019-04-19
Kwong Wah Hospital,3.5,2019-04-19 01:15:00,2019-04-19
North District Hospital,7.5,2019-04-19 01:15:00,2019-04-19
North Lantau Hospital,0.5,2019-04-19 01:15:00,2019-04-19
Princess Margaret Hospital,4.5,2019-04-19 01:15:00,2019-04-19
Pok Oi Hospital,1.5,2019-04-19 01:15:00,2019-04-19
Prince of Wales Hospital,8.5,2019-04-19 01:15:00,2019-04-19
Pamela Youde Nethersole Eastern Hospital,4.5,2019-04-19 01:15:00,2019-04-19
Queen Elizabeth Hospital,6.5,2019-04-19 01:15:00,2019-04-19
Queen Mary Hospital,1.5,2019-04-19 01:15:00,2019-04-19
Ruttonjee Hospital,2.5,2019-04-19 01:15:00,2019-04-19
St John Hospital,0.5,2019-04-19 01:15:00,2019-04-19
Tseung Kwan O Hospital,5.5,2019-04-19 01:15:00,2019-04-19
Tuen Mun Hospital,3.5,2019-04-19 01:15:00,2019-04-19
Tin Shui Wai Hospital,1.5,2019-04-19 01:15:00,2019-04-19
United Christian Hospital,3.5,2019-04-19 01:15:00,2019-04-19
Yan Chai Hospital,5.5,2019-04-19 01:15:00,2019-04-19
Alice Ho Miu Ling Nethersole Hospital,2.5,2019-04-19 01:30:00,2019-04-19
Caritas Medical Centre,2.5,2019-04-19 01:30:00,2019-04-19
Kwong Wah Hospital,3.5,2019-04-19 01:30:00,2019-04-19
North District Hospital,7.5,2019-04-19 01:30:00,2019-04-19
North Lantau Hospital,0.5,2019-04-19 01:30:00,2019-04-19
Princess Margaret Hospital,4.5,2019-04-19 01:30:00,2019-04-19
Pok Oi Hospital,1.5,2019-04-19 01:30:00,2019-04-19
Prince of Wales Hospital,8.5,2019-04-19 01:30:00,2019-04-19
Pamela Youde Nethersole Eastern Hospital,4.5,2019-04-19 01:30:00,2019-04-19
